Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
Berger Financial Group Inc.,"171,598",0.00,24.5,193,0.11,12/31/22,13F,Low       ,39.26,Active    ,373.84,Plymouth,MN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Camden Capital LLC,"171,562",0.00,24.5,"(7,229)",(4.04),9/30/22,13F,Low       ,26.92,Active    ,154.84,El Segundo,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
FORVIS Wealth Advisors LLC,"171,288",0.00,24.5,(338),(0.20),9/30/22,13F,Very Low  ,8.80,Active    ,476.93,Springfield,MO,USA,Blend,Large Cap ,Family Offices/Trusts,,
TRUE Pvt. Wealth Advisors LLC,"170,906",0.00,24.4,"(2,922)",(1.68),9/30/22,13F,Low       ,46.41,Active    ,184.07,Salem,OR,USA,Growth,Large Cap ,Family Offices/Trusts,,
Howe & Rusling Inc.,"170,637",0.00,24.4,"(15,580)",(8.37),9/30/22,13F,Low       ,25.59,Active    ,633.68,Rochester,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sittner & Nelson LLC,"170,550",0.00,24.4,"2,542",1.51,9/30/22,13F,,,Active    ,153.96,Eugene,OR,USA,Blend,Large Cap ,Traditional Investment Managers,,
Financial Architects Inc,"170,483",0.00,24.4,397,0.23,9/30/22,13F,Very Low  ,17.89,Active    ,185.89,Farmington Hills,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Deka Vermögensmanagement Gmbh,"170,353",0.00,24.4,"35,000",25.86,9/30/22,Aggregated Mutual Funds,Low       ,34.82,Active    ,787.48,Berlin,,Germany,Growth,Large Cap ,Traditional Investment Managers,3,
Banco J. Safra SA,"169,560",0.00,24.2,"(61,680)",(26.67),9/30/22,Aggregated Mutual Funds,Low       ,31.49,Active    ,158.05,São Paulo,SP,Brazil,Growth,Large Cap ,Traditional Investment Managers,1,
Nadler Financial Group Inc.,"168,951",0.00,24.2,941,0.56,12/31/22,13F,Very Low  ,10.73,Active    ,84.69,Deerfield,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Zullo Investment Group Inc.,"168,646",0.00,24.1,167,0.10,9/30/22,13F,,,Active    ,132.02,Scranton,PA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Pvt. Trust Co. NA,"168,556",0.00,24.1,"(1,776)",(1.04),12/31/22,13F,Low       ,25.07,Active    ,424.94,Cleveland,OH,USA,Growth,Large Cap ,Family Offices/Trusts,,
Northstar Group Inc.,"168,415",0.00,24.1,(446),(0.26),12/31/22,13F,Very Low  ,6.66,Active    ,251.38,New York,NY,USA,Blend,Large Cap ,Traditional Investment Managers,,
Good Life Advisors LLC,"168,401",0.00,24.1,"(1,935)",(1.14),9/30/22,13F,Low       ,24.70,Active    ,207.34,Wyomissing,PA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Americana Partners LLC,"168,330",0.00,24.1,"(9,814)",(5.51),12/31/22,13F,Low       ,32.30,Active    ,532.76,Houston,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
BEA Union Investment Management Ltd.,"168,034",0.00,24.0,"24,400",16.99,9/30/22,13F,Low       ,43.98,Active    ,"1,371.08",Central,,Hong Kong,Growth,Large Cap ,Traditional Investment Managers,1,
Argenta Asset Management SA,"167,777",0.00,24.0,0,,6/30/22,Aggregated Mutual Funds,Low       ,33.40,Active    ,"3,617.87",Luxembourg,,Luxembourg,Growth,Large Cap ,Traditional Investment Managers,2,
Harris Associates LP,"167,483",0.00,24.0,(309),(0.18),9/30/22,13F,Low       ,26.99,Active    ,"85,814.50",Chicago,IL,USA,Value,Large Cap ,Traditional Investment Managers,,
Simplicity Solutions LLC,"167,075",0.00,23.9,"6,879",4.29,9/30/22,13F,Moderate  ,60.98,Active    ,511.52,Minneapolis,MN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Thrivent Trust Co.,"166,936",0.00,23.9,"29,126",21.14,12/31/22,Aggregated 13F,Low       ,43.71,,557.75,Appleton,WI,USA,Growth,Large Cap ,Banks/Investment Banks,,
Farmers & Merchants Bank of Long Beach,"166,715",0.00,23.8,"(1,288)",(0.77),9/30/22,13F,Very Low  ,5.96,Active    ,321.15,Long Beach,CA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Winthrop Advisory Group LLC,"166,441",0.00,23.8,522,0.32,12/31/22,13F,Very Low  ,10.52,Active    ,82.27,Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
RFG Advisory LLC,"166,368",0.00,23.8,"4,258",2.63,9/30/22,13F,Low       ,28.41,Active    ,356.52,Vestavia Hills,AL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Venturi Wealth Management LLC,"166,270",0.00,23.8,526,0.32,9/30/22,13F,Moderate  ,90.22,Active    ,460.85,Austin,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Mercer Investments LLC,"166,112",0.00,23.8,0,,9/30/22,Multiple,Low       ,35.24,Active    ,"7,239.74",Boston,MA,USA,GARP,Large Cap ,Traditional Investment Managers,2,
Knuff & Co. LLC,"165,556",0.00,23.7,"(11,454)",(6.47),9/30/22,13F,Very Low  ,11.64,Active    ,232.59,Foster City,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
CC Capital Advisors Inc.,"165,547",0.00,23.7,"3,350",2.07,9/30/22,13F,,,Active    ,682.41,Kansas City,MO,USA,Blend,Large Cap ,Banks/Investment Banks,,
BetterWealth LLC,"165,517",0.00,23.7,(511),(0.31),12/31/22,13F,,,Active    ,31.82,Campbell,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Addenda Capital Inc.,"165,508",0.00,23.7,"(7,082)",(4.10),12/31/22,13F,Very Low  ,18.50,Active    ,"2,017.75",Montreal,QC,Canada,Growth,Large Cap ,Traditional Investment Managers,3,
SNS Financial Group LLC,"165,273",0.00,23.6,(274),(0.17),12/31/22,13F,Very Low  ,18.46,Active    ,118.73,Minneapolis,MN,USA,Blend,Large Cap ,Banks/Investment Banks,,
Mather Group LLC,"165,145",0.00,23.6,"10,131",6.54,9/30/22,13F,Very Low  ,13.66,Active    ,775.29,Chicago,IL,USA,Blend,Multi Cap ,Traditional Investment Managers,,
First National Bank & Trust of Newtown,"165,013",0.00,23.6,(385),(0.23),9/30/22,13F,Very Low  ,2.51,Active    ,185.87,Newtown,PA,USA,Blend,Large Cap ,Family Offices/Trusts,,
MayTech Global Investments LLC,"164,753",0.00,23.6,"(5,702)",(3.35),9/30/22,13F,Very Low  ,16.60,Active    ,316.84,New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Signet Financial Management LLC,"164,590",0.00,23.5,(438),(0.27),9/30/22,13F,Very Low  ,15.47,Active    ,257.78,Mendham,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
Monograph Wealth Advisors LLC,"164,121",0.00,23.5,"(7,711)",(4.49),9/30/22,13F,,,Active    ,49.32,Redondo Beach,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Front Row Advisors LLC,"164,091",0.00,23.5,(408),(0.25),9/30/22,13F,Very Low  ,7.42,Active    ,188.43,Tiburon,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Oak Asset Management LLC,"163,591",0.00,23.4,"155,757","1,988.22",9/30/22,13F,High      ,102.18,Active    ,228.57,Westlake Village,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Glassman Wealth Services LLC,"163,319",0.00,23.4,860,0.53,9/30/22,13F,Very Low  ,12.07,Active    ,207.06,McLean,VA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Freemont Capital Pte. Ltd.,"163,300",0.00,23.4,"(3,900)",(2.33),9/30/22,13F,Very Low  ,5.76,Active    ,"7,212.54",Singapore,,Singapore,Growth,Large Cap ,Corporations (Private),,
Centre Asset Management LLC,"162,998",0.00,23.3,"9,335",6.08,9/30/22,13F,Low       ,36.09,Active    ,578.01,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,2,
Wealthcare Advisory Partners LLC,"162,565",0.00,23.2,"26,604",19.57,9/30/22,13F,Low       ,22.72,Active    ,339.41,West Chester,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
South Street Advisors LLC,"162,562",0.00,23.2,"(1,425)",(0.87),9/30/22,13F,Low       ,21.03,Active    ,467.40,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Boenning & Scattergood Holdings Inc.,"162,551",0.00,23.2,"14,669",9.92,12/31/22,13F,Very Low  ,16.44,Active    ,471.16,West Conshohocken,PA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Nations Financial Group Inc.,"162,457",0.00,23.2,"(2,400)",(1.46),9/30/22,13F,Low       ,27.56,Active    ,358.74,Cedar Rapids,IA,USA,Growth,Large Cap ,Traditional Investment Managers,,
QVR LLC,"162,221",0.00,23.2,"143,312",757.90,9/30/22,13F,Very High ,228.20,Active    ,112.15,San Francisco,CA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Cozad Asset Management Inc,"161,992",0.00,23.2,"(4,836)",(2.90),9/30/22,13F,Very Low  ,18.85,Active    ,476.79,Champaign,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
FIM Asset Management Ltd.,"161,992",0.00,23.2,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,13.26,Active    ,"1,120.96",Helsinki,,Finland,Growth,Large Cap ,Traditional Investment Managers,2,
Knightsbridge Asset Management LLC,"161,829",0.00,23.1,"(2,764)",(1.68),9/30/22,13F,Low       ,48.44,Active    ,372.37,Newport Beach,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Kavar Capital Partners Group LLC,"161,538",0.00,23.1,68,0.04,9/30/22,13F,Very Low  ,10.90,Active    ,309.12,Leawood,KS,USA,Growth,Large Cap ,Traditional Investment Managers,,
Lazard Frères Gestion SAS,"161,213",0.00,23.1,"2,288",1.44,9/30/22,13F,Very Low  ,19.61,Active    ,"7,016.20",Paris,,France,Blend,Large Cap ,Traditional Investment Managers,1,
ValMark Advisers Inc.,"161,142",0.00,23.0,"2,807",1.77,9/30/22,13F,Very Low  ,9.21,Active    ,213.55,Akron,OH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Conning Inc.,"160,828",0.00,23.0,"(14,581)",(8.31),9/30/22,13F,Low       ,32.63,Active    ,"2,258.03",Hartford,CT,USA,Blend,Large Cap ,Traditional Investment Managers,,
Pursell Management Co. LLC,"160,387",0.00,22.9,"36,160",29.11,9/30/22,13F,Very Low  ,16.87,Active    ,693.94,Peachtree Corners,GA,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Summit Global Investments LLC,"160,380",0.00,22.9,"12,206",8.24,9/30/22,13F,Moderate  ,82.29,Active    ,"1,046.92",Bountiful,UT,USA,Growth,Large Cap ,Traditional Investment Managers,2,
CreativeOne Wealth LLC,"160,227",0.00,22.9,"12,235",8.27,9/30/22,13F,Low       ,46.41,Active    ,295.92,Leawood,KS,USA,Growth,Large Cap ,Traditional Investment Managers,,
YCG LLC,"159,939",0.00,22.9,424,0.27,9/30/22,13F,Very Low  ,11.87,Active    ,"1,019.11",Austin,TX,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Diamant Asset Management Inc.,"159,933",0.00,22.9,(465),(0.29),9/30/22,13F,,,Active    ,114.91,Greenwich,CT,USA,Blend,Large Cap ,Family Offices/Trusts,,
Dacheng Fund Management Co. Ltd.,"159,681",0.00,22.8,0,,6/30/22,Aggregated Mutual Funds,Low       ,28.74,Active    ,"12,821.59",Shenzhen,,China,GARP,Large Cap ,Traditional Investment Managers,1,
Hutchinson Capital Management,"159,452",0.00,22.8,186,0.12,9/30/22,13F,Very Low  ,12.68,Active    ,391.65,San Rafael,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Capital Analysts LLC,"159,318",0.00,22.8,"39,673",33.16,9/30/22,13F,Low       ,26.58,Active    ,444.58,Fort Washington,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Cornerstone Wealth Group LLC,"158,603",0.00,22.7,"5,093",3.32,12/31/22,13F,Moderate  ,89.95,Active    ,298.81,Huntersville,NC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Mitchell McLeod Pugh & Williams Inc.,"157,618",0.00,22.5,"9,567",6.46,9/30/22,13F,Very Low  ,6.24,Active    ,233.77,Mobile,AL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Cumberland Partners Ltd.,"157,611",0.00,22.5,"(15,955)",(9.19),9/30/22,13F,Low       ,33.56,Active    ,"1,141.16",Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,1,
Symmetry Partners LLC,"157,530",0.00,22.5,"(42,971)",(21.43),12/31/22,13F,Low       ,23.98,Passive   ,632.31,Glastonbury,CT,USA,Growth,Large Cap ,Traditional Investment Managers,2,
Dorsey & Whitney Trust Company Llc,"157,470",0.00,22.5,201,0.13,9/30/22,13F,Very Low  ,15.90,Active    ,730.99,Sioux Falls,SD,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sand Hill Global Advisors LLC,"157,417",0.00,22.5,"(3,057)",(1.91),9/30/22,13F,Very Low  ,11.48,Active    ,368.03,Palo Alto,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Hills Bank and Trust Co.,"156,904",0.00,22.4,159,0.10,9/30/22,13F,Very Low  ,6.08,Active    ,390.30,Hills,IA,USA,Growth,Large Cap ,Traditional Investment Managers,,
1834 Investment Advisors Co.,"156,822",0.00,22.4,"(4,256)",(2.64),9/30/22,13F,Low       ,29.55,,364.42,Milwaukee,WI,USA,GARP,Large Cap ,Traditional Investment Managers,,
Manitou Investment Management Ltd.,"156,779",0.00,22.4,(391),(0.25),9/30/22,13F,Low       ,23.20,Active    ,598.59,Toronto,ON,Canada,Blend,Large Cap ,Traditional Investment Managers,,
First Hawaiian Bank,"156,732",0.00,22.4,"(10,541)",(6.30),12/31/22,13F,Very Low  ,14.10,Active    ,"1,005.32",Honolulu,HI,USA,Growth,Large Cap ,Banks/Investment Banks,,
James Investment Research Inc.,"156,698",0.00,22.4,"(37,832)",(19.45),12/31/22,13F,Low       ,25.16,Active    ,514.65,Xenia,OH,USA,Growth,Large Cap ,Traditional Investment Managers,2,
Zions Capital Advisors Inc.,"156,403",0.00,22.4,"56,279",56.21,9/30/22,13F,Low       ,28.08,Active    ,503.09,Salt Lake City,UT,USA,Growth,Large Cap ,Traditional Investment Managers,,
Synovus Securities Inc.,"156,248",0.00,22.3,"(3,212)",(2.01),9/30/22,13F,Very Low  ,15.84,Active    ,339.31,Columbus,GA,USA,Blend,Large Cap ,Banks/Investment Banks,,
Fields Gottscho Cap Management LLC,"156,147",0.00,22.3,"(8,378)",(5.09),12/31/22,13F,Very Low  ,11.22,Active    ,231.07,New York,NY,USA,Blend,Large Cap ,Traditional Investment Managers,,
Abacus Planning Group Inc,"156,023",0.00,22.3,(430),(0.28),12/31/22,13F,Very Low  ,13.51,Active    ,146.11,Columbia,SC,USA,Blend,Large Cap ,Family Offices/Trusts,,
PalmerDodge Advisors LLC,"155,907",0.00,22.3,"(1,335)",(0.85),12/31/22,Aggregated 13F,Very Low  ,9.86,Active    ,347.92,Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Perennial Investment Advisors LLC,"155,582",0.00,22.2,"(30,769)",(16.51),9/30/22,13F,Low       ,25.43,Active    ,98.30,Los Angeles,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
QuayStreet Asset Management Ltd.,"155,140",0.00,22.2,"155,140",,9/30/22,Aggregated Mutual Funds,Low       ,24.71,Active    ,740.30,Auckland,,New Zealand,Growth,Large Cap ,Traditional Investment Managers,5,
Payden & Rygel,"154,860",0.00,22.1,"7,900",5.38,9/30/22,13F,Moderate  ,58.42,Active    ,"2,500.19",Los Angeles,CA,USA,GARP,Large Cap ,Traditional Investment Managers,2,
Mark Asset Management LP,"154,799",0.00,22.1,"(12,547)",(7.50),9/30/22,13F,Moderate  ,50.32,Active    ,458.44,New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
BDO Wealth Advisors LLC,"154,756",0.00,22.1,"3,343",2.21,12/31/22,13F,Very Low  ,19.39,Active    ,294.36,Jacksonville,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Harvest Fund Management Co. Ltd.,"154,401",0.00,22.1,(101),(0.07),9/30/22,13F,Low       ,26.15,Passive   ,"32,687.14",Beijing,,China,Aggressive Growth,Large Cap ,Traditional Investment Managers,1,
Sterling Investment Advisors Ltd.,"154,258",0.00,22.1,"(3,748)",(2.37),9/30/22,13F,Very Low  ,18.78,Active    ,237.12,Berwyn,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
"DCM Advisors, LLC","154,123",0.00,22.0,0,,6/30/22,13F,Moderate  ,57.78,Active    ,271.24,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,2,
Avior Wealth Management LLC,"154,015",0.00,22.0,"18,509",13.66,9/30/22,13F,Very Low  ,17.36,Active    ,397.89,Omaha,NE,USA,Growth,Large Cap ,Traditional Investment Managers,,
Ascent Group LLC,"153,902",0.00,22.0,"2,514",1.66,9/30/22,13F,,,Active    ,466.06,Virginia Beach,VA,USA,Blend,Large Cap ,Traditional Investment Managers,,
XML Financial LLC,"153,797",0.00,22.0,"75,684",96.89,9/30/22,13F,Very Low  ,13.92,Active    ,430.40,Rockville,MD,USA,GARP,Large Cap ,Traditional Investment Managers,,
City Holding Co.,"153,432",0.00,21.9,"(3,737)",(2.38),12/31/22,13F,Very Low  ,8.76,Active    ,426.93,Charleston,WV,USA,Growth,Large Cap ,Banks/Investment Banks,,
West Coast Financial LLC,"153,241",0.00,21.9,"(1,586)",(1.02),9/30/22,13F,Very Low  ,12.90,Active    ,394.19,Santa Barbara,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
American National Bank & Trust,"153,221",0.00,21.9,"16,952",12.44,12/31/22,13F,Very Low  ,14.48,Active    ,421.79,Wichita Falls,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Guinness Atkinson Asset Management Inc.,"153,103",0.00,21.9,"(2,330)",(1.50),9/30/22,Aggregated 13F,Very Low  ,9.62,Active    ,"3,660.41",Pasadena,CA,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Schwarz Dygos Wheeler Investment Advisors LLC,"152,987",0.00,21.9,"(12,064)",(7.31),9/30/22,13F,Very Low  ,10.19,Active    ,158.85,Minneapolis,MN,USA,Blend,Large Cap ,Family Offices/Trusts,,
Qtron Investments LLC,"152,841",0.00,21.9,"(2,694)",(1.73),9/30/22,13F,Low       ,45.10,Active    ,449.41,Boston,MA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Hemington Wealth Management LLC,"152,827",0.00,21.9,(84),(0.06),12/31/22,13F,Very Low  ,13.15,Active    ,58.31,Tysons,VA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Staley Capital Advisers Inc.,"152,724",0.00,21.8,"(1,630)",(1.06),9/30/22,13F,Very Low  ,10.46,Active    ,"1,347.02",Pittsburgh,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Avantax Planning Partners Inc.,"152,604",0.00,21.8,(459),(0.30),9/30/22,13F,Very Low  ,15.60,Active    ,326.00,Dubuque,IA,USA,Growth,Large Cap ,Traditional Investment Managers,,
CCM Investment Advisers LLC,"152,579",0.00,21.8,"(1,339)",(0.87),9/30/22,13F,Very Low  ,16.22,Active    ,688.42,Columbia,SC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Buckingham Capital Management Inc.,"152,342",0.00,21.8,"2,453",1.64,12/31/22,13F,Very Low  ,13.68,Active    ,373.29,Dayton,OH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Vestmark Advisory Solutions Inc.,"152,328",0.00,21.8,"6,676",4.58,12/31/22,13F,Low       ,23.09,Active    ,"1,388.67",Jersey City,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
Schubert & Company Inc.,"152,279",0.00,21.8,499,0.33,9/30/22,13F,,,Active    ,96.78,McKinney,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Rowland Miller + Partners LLC,"152,172",0.00,21.8,"(1,478)",(0.96),12/31/22,13F,Very Low  ,10.73,Active    ,405.48,Atlanta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Canandaigua National Bank and Trust Co.,"152,051",0.00,21.7,(495),(0.32),9/30/22,13F,Very Low  ,11.69,Active    ,620.52,Canandaigua,NY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Jones Collombin Investment Counsel Inc.,"151,954",0.00,21.7,"(5,334)",(3.39),12/31/22,13F,Very Low  ,17.17,Active    ,205.21,Toronto,ON,Canada,Growth,Large Cap ,Family Offices/Trusts,,
Texas Capital Bank Wealth Management Services Inc.,"151,521",0.00,21.7,"(4,032)",(2.59),9/30/22,13F,Low       ,32.50,Active    ,347.07,Dallas,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Martin Investment Management LLC,"151,378",0.00,21.6,(315),(0.21),9/30/22,13F,Very Low  ,12.28,Active    ,341.00,Palm Beach Gardens,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Hayek Kallen Investment Management L.L.C.,"151,186",0.00,21.6,"(1,378)",(0.90),9/30/22,13F,Very Low  ,4.48,Active    ,203.10,Fairhope,AL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Strategic Blueprint LLC,"150,954",0.00,21.6,"5,947",4.10,12/31/22,13F,Low       ,38.49,Active    ,262.44,Atlanta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Uni-President Assets Management Corp.,"150,918",0.00,21.6,"(2,697)",(1.76),12/31/22,Aggregated Mutual Funds,High      ,102.69,Active    ,"1,759.87",Taipei City,,Taiwan,Aggressive Growth,Multi Cap ,Traditional Investment Managers,3,
Terril Brothers Inc.,"150,903",0.00,21.6,0,,9/30/22,13F,Low       ,20.56,Active    ,195.92,Saint Louis,MO,USA,GARP,Large Cap ,Traditional Investment Managers,,
Covington Investment Advisors Inc.,"150,650",0.00,21.5,(430),(0.29),9/30/22,13F,Very Low  ,9.62,Active    ,407.30,Ligonier,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
BRR OPCO LLC,"150,340",0.00,21.5,"7,978",5.60,9/30/22,13F,Low       ,20.91,Active    ,481.97,Columbus,OH,USA,Blend,Large Cap ,Family Offices/Trusts,,
Bennett Selby Investments LP,"150,112",0.00,21.5,"(1,681)",(1.11),12/31/22,13F,Very Low  ,7.17,Active    ,141.08,Falmouth,ME,USA,Growth,Large Cap ,Traditional Investment Managers,,
Mirae Asset Investment Managers (India) Private Ltd.,"149,724",0.00,21.4,"9,046",6.43,12/31/22,Aggregated Mutual Funds,Very Low  ,7.56,Active    ,807.74,Mumbai,,India,Growth,Mid Cap   ,Traditional Investment Managers,2,
Banque Degroof Petercam Luxembourg SA,"149,660",0.00,21.4,"(2,925)",(1.92),9/30/22,Aggregated Mutual Funds,Very Low  ,19.57,Active    ,719.00,Luxembourg City,,Luxembourg,Growth,Large Cap ,Traditional Investment Managers,5,
American Money Management LLC,"149,585",0.00,21.4,(508),(0.34),9/30/22,13F,Very Low  ,12.14,Active    ,218.01,Rancho Santa Fe,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Vontobel Asset Management AG,"149,371",0.00,21.4,"20,999",16.36,9/30/22,Aggregated Mutual Funds,Low       ,28.02,Active    ,"12,267.97",Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,7,
Beach Investment Counsel Inc.,"149,296",0.00,21.3,"(6,245)",(4.02),9/30/22,13F,Low       ,33.49,Active    ,774.77,West Conshohocken,PA,USA,Blend,Large Cap ,Traditional Investment Managers,,
